NUMBER OF TIMES THE ALGORITHM SEPANN REPEATS ITS LOOP:

n = 100,000 points
Repeat times    n         c
      3       120189   1623.47
      4       119412   1623.47
      9       118252   1623.47
      4       114019   1623.47
      1       107054   1623.47
      4        98584   1623.47
      5        98183   1623.47
      7        94660   1623.47
      1        94098   1623.47
      4        92697   1623.47
      1        87969   1623.47
     10        87721   1623.47
      3        87274   1623.47
      1        83781   1623.47
      1        81923   1623.47
      3       499161   1623.47
      9       493114   1623.47
      4       126284   1623.47
      2       125675   1623.47
      5       120070   1623.47
     21       118885   1623.47
      2       106541   1623.47
      2       106516   1623.47
      3        99218   1623.47
      2        96357   1623.47
      1        95272   1623.47
      3        91113   1623.47
      5        90433   1623.47
      5        90322   1623.47
      2        90272   1623.47
      8        87827   1623.47
      3        87630   1623.47
      2        82226   1623.47
      7        81276   1623.47
     14        80712   1623.47
     12        80359   1623.47
      2       453364   1623.47
      1       128167   1623.47
      4       117634   1623.47
      2       112289   1623.47
      2       110104   1623.47
      3       101304   1623.47
      1        99453   1623.47
      3        95876   1623.47
      2        90786   1623.47
      3        88410   1623.47
      6        80929   1623.47
      6        80603   1623.47
      3       416224   1623.47
     10       409931   1623.47
      3        85758   1623.47
      7        80685   1623.47
     13       378169   1623.47
      1       109536   1623.47
      1       103011   1623.47
     13       102506   1623.47
     13        94360   1623.47
      1        90202   1623.47
      9        88139   1623.47
      1        84493   1623.47
      6        81708   1623.47
      6        81655   1623.47
      2       345382   1623.47
      4        83705   1623.47
      7        81917   1623.47
      1       313733   1623.47
      9       298033   1623.47
      1       283152   1623.47
      2        84903   1623.47
      4        82408   1623.47
      1       259505   1623.47
      1        90032   1623.47
      2        83060   1623.47
      1       219734   1623.47
      1       212135   1623.47
      1       192671   1623.47
      6       191779   1623.47
      4       187967   1623.47
      5       187480   1623.47
      2       173710   1623.47
      1       166041   1623.47
      1       148058   1623.47
      3       146813   1623.47
      1       133814   1623.47
      1       133261   1623.47
      3       127931   1623.47
      1        98908   1623.47
      3        97367   1623.47
      2        97270   1623.47
      1        89759   1623.47
      1        86089   1623.47
      3        82362   1623.47

n = 700,000 points
Repeat times    n         c
      3       700000   1623.47
      3       689450   1623.47
      6       653597   1623.47
      2       196083   1623.47
      2       190410   1623.47
      1       186137   1623.47
      5       177074   1623.47
      4       175268   1623.47
